stacks section,TITLE,AUTHOR,PUBLISHER,Year,EDITION,CUSTOM BINDING (Y/N),NOTES
"Row 2, section 1","Repertoire General des Sources Manuscripts de L'Histoire de Paris pendant la Revolution Francoise, vol. 1","Teutey, Alexandre",Imprimerie Nouvelle,1890,,Y,
"Row 2, section 1","Repertoire General des Sources Manuscripts de L'Histoire de Paris pendant la Revolution Francoise, vol. 2","Teutey, Alexandre",Imprimerie Nouvelle,1890,,Y,
"Row 2, section 1","Repertoire General des Sources Manuscripts de L'Histoire de Paris pendant la Revolution Francoise, vol. 3","Teutey, Alexandre",Imprimerie Nouvelle,1890,,Y,
"Row 2, section 1","Repertoire General des Sources Manuscripts de L'Histoire de Paris pendant la Revolution Francoise, vol. 4","Teutey, Alexandre",Imprimerie Nouvelle,1890,,Y,
"Row 2, section 1","Repertoire General des Sources Manuscripts de L'Histoire de Paris pendant la Revolution Francoise, vol. 5","Teutey, Alexandre",Imprimerie Nouvelle,1890,,Y,
"Row 2, section 1","Repertoire General des Sources Manuscripts de L'Histoire de Paris pendant la Revolution Francoise, vol. 6","Teutey, Alexandre",Imprimerie Nouvelle,1890,,Y,
"Row 2, section 1","Repertoire General des Sources Manuscripts de L'Histoire de Paris pendant la Revolution Francoise, vol. 7","Teutey, Alexandre",Imprimerie Nouvelle,1890,,Y,
"Row 2, section 1","Repertoire General des Sources Manuscripts de L'Histoire de Paris pendant la Revolution Francoise, vol. 8","Teutey, Alexandre",Imprimerie Nouvelle,1890,,Y,
"Row 2, section 1","Repertoire General des Sources Manuscripts de L'Histoire de Paris pendant la Revolution Francoise, vol. 9","Teutey, Alexandre",Imprimerie Nouvelle,1890,,Y,
"Row 2, section 1","Repertoire General des Sources Manuscripts de L'Histoire de Paris pendant la Revolution Francoise, vol. 10","Teutey, Alexandre",Imprimerie Nouvelle,1890,,Y,
"Row 2, section 1","Repertoire General des Sources Manuscripts de L'Histoire de Paris pendant la Revolution Francoise, vol. 11","Teutey, Alexandre",Imprimerie Nouvelle,1890,,Y,
"Row 2, section 1","L'Assistance Publique a Paris pendant la Revolution, vol. 1","Teutey, Alexandre",Impremerie Nationale,1895,,Y,
"Row 2, section 1","L'Assistance Publique a Paris pendant la Revolution, vol. 2","Teutey, Alexandre",Impremerie Nationale,1895,,Y,
"Row 2, section 1","L'Assistance Publique a Paris pendant la Revolution, vol. 4","Teutey, Alexandre",Impremerie Nationale,1895,,Y,
"Row 2, section 1","Bibliographie de L'Histoire de Paris pendant la Revolution Francoise, vol. 1","Tourneaux, Maurice",Ville de Paris ,1968,,Y,
"Row 2, section 1","Bibliographie de L'Histoire de Paris pendant la Revolution Francoise, vol. 3","Tourneaux, Maurice",Ville de Paris ,1968,,Y,
"Row 2, section 1",The Ordeal of Captain Roeder ,"Roeder, Helen",St. Martin's Press,1961,,N,
"Row 2, section 1",1814,"Fain, Agathon Jean Francois",Artheme Bayard,,,Y,
"Row 2, section 1",Condorcet abd Modernity ,"Williams, David",Cambridge University Press,2004,,N,
"Row 2, section 1",The Saint-Napoleon,"Hazareesingh, Sudhir",Harvard University Press,2004,,N,
"Row 2, section 1",Unnaturally French,"Sahlins, Peter",Cornell University Press,2004,,N,
"Row 2, section 1","France Militaire, vol. 1","Hugo, A.",Chez Delloye,1833,,N,
"Row 2, section 1","France Militaire, vol. 2","Hugo, A.",Chez Delloye,1833,,N,
"Row 2, section 1","France Militaire, vol. 3","Hugo, A.",Chez Delloye,1833,,N,
"Row 2, section 1","France Militaire, vol. 4","Hugo, A.",Chez Delloye,1833,,N,
"Row 2, section 1","France Militaire, vol. 5","Hugo, A.",Chez Delloye,1833,,N,
"Row 2, section 1",The Foreign Ministers of Alexander I,"Grimsted, Patricia Kennedy",University of California Press,1969,,N,
"Row 2, section 1","Czartoryski and Auropean Unity, 1770-1861","Kukiel, M.",Princeton University Press,1955,,N,
"Row 2, section 1",No Peace with Napoleon!,"Caulaincourt, Armand-Augustin-Louis",William Morrow and Company,1936,,N,Loose Ephemera
"Row 2, section 1",Europe Against Napoleon,"Brett-James, Antony",St. Martin's Press,1970,,N,
"Row 2, section 1",The Executioners,"Christophe, Robert",Arthur Baker Ltd,1961,,N,
"Row 2, section 1",Place a Monsieur Larrey: Chirurgen de la garde imperiale,"Marchioni, Jean",Actes Sud,2003,,N,Signed
"Row 2, section 1",The Public Prosecutor of the Terror,"Dunoyer, Alphonse",Herbert Jenkins Ltd,1914,,N,
"Row 2, section 1",The Great Cat Massacre,"Darnton, Robert",Basic Books,1984,,N,
"Row 2, section 1",Napoleon et les Chambres de Commerce,"Conquet, Andre",APCCI,1978,,N,
"Row 2, section 1","Napoleon et les Chambres de Commerce, c. 2","Conquet, Andre",APCCI,1978,,N,
"Row 2, section 1",McClure's Life of Napoleon with 250 Pictures,"Tarbell, Ida M.",S. S. McClure's Ltd,1895,,N,
"Row 2, section 1",Napoleonic Propaganda,"Hoffman, Robert",Louisisanna State University Press,1950,,N,
"Row 2, section 1","Bernadotte, a Biography","Wencker-Wildber, Friedrich",Jarrolds Publishers,1936,,N,
"Row 2, section 1",The French Revolution,"Johnson, Douglas",G.P. Puthnam Sons,1978,,N,
"Row 2, section 1",The French Veteran from the Revolution to the Restoration,"Woloch, Isser",University of North Carolina Press,1979,,N,
"Row 2, section 1","On War, vol. 1","von Clause-Witz, Carl",Routledge and Kegan Paul,1968,,N,
"Row 2, section 1","On War, vol. 2","von Clause-Witz, Carl",Routledge and Kegan Paul,1968,,N,
"Row 2, section 1","On War, vol. 3","von Clause-Witz, Carl",Routledge and Kegan Paul,1968,,N,
"Row 2, section 1","The French Revolution, Volume II","Lefebvre, Georges",Columbia University Press,1964,,N,
"Row 2, section 1",Journal of My Life during the French Revolution,"Elliott, Grace Dalrymple",The Rodale Press,,,N,
"Row 2, section 1",Napoleon,"Brownlow, Kecin",Alfred A. Knopf,1983,,N,
"Row 2, section 1",On War: Indexed Edition,"von Clause-Witz, Carl",Princeton University Press,1984,,N,
"Row 2, section 1",The Calas Affair,"Bien, David D. ",Princeton University Press,1960,,N,
"Row 2, section 1","L'Evacuation de L'Espagne dans le Midi, Vol. 2","Vidal de la Blache, Paul",Berger Lavreau,1914,,Y,Loose Ephemera
"Row 2, section 1","Narrative of the Peninsular War, Vol. 1","Vane, Charles William",Henry Colburn,1829,,Y,Map
"Row 2, section 1","Narrative of the Peninsular War, Vol. 2","Vane, Charles William",Henry Colburn,1829,,Y,Maps
"Row 2, section 1",The King of Rome: Napoleon II,"Aubry, Octave",J.B. Lippincott Company,1932,,N,
"Row 2, section 1",Stendhal: Travels in the South of France,"Abbott, Elisabeth",Orion Press,1970,,N,
"Row 2, section 1",The Begetters of Revolution,"Jarrett, Derek",Rawman and Littlefield ,1973,,N,
"Row 2, section 1",Soldat Suisses au Service  Etranger,"Bouquet, Henry, Begos, Louis & Maillefer, J.D.",A. Jullien,1909,,N,
"Row 2, section 1",Arms and the Woman,"Uxkull, Boris",Secker and Warburg,1966,,N,
"Row 2, section 1",The Magnificent Comedy,"Minnigerode, Meade",Farrar & Rinehari,1931,,N,
"Row 2, section 1",Monsieur de la Bonaparte,"Roux, Georges",Artheme Fayard,1964,,N,
"Row 2, section 1",Napoleon,"Hutt, Maurice",Prentice Hall,1972,,N,
"Row 2, section 1",L'Exil et la Mort du General Moreau,"Daudet, Ernest",Hachette,1909,,N,
"Row 2, section 1",The Rise of French Liberal Thoughts,"Martin, Kingsley",New York Univerity Press,1954,,N,
"Row 2, section 1",David: Catalogue of Exhibition of Paintings and Drawings,Arts Council of Great Britain,Shenval Press,1948,,N,
"Row 2, section 1",A propos d'un Centenaire sur la Campagne de 1813,,Librairie Chapelot,1912,,N,
"Row 2, section 1",Das Hannoverische Regiment Fussgarde in Jahr 1803,von Ompteda,,1860,,N,
"Row 2, section 1",Le general Baron Bigarre,"Montels, Jean",La Pensee Universelle,1977,,N,
"Row 2, section 1",Napoleon Bonaparte,"la Societe des Amis du Musee de l""Armee a l'Hotel des Invalides",Mai-Octobre,1949,,N,
"Row 2, section 1",Figures of the Revolution,"Madelin, Louis",Macaulay Company,1929,,N,
"Row 2, section 1",Napoleon's British Visitors abd Captives 1801-1815,"Alger, J. Goldworth","Archibald Constable and Comany, Ltd",1904,,N,
"Row 2, section 1","Fiuche, t. 2","Madelin, Louis",Librairie Plon,1947,,N,
"Row 2, section 1",The Hussar General,"Parkinson, Roger",Peter Davies,1975,,N,
"Row 2, section 1","History of the British Army, Vol. I","Fortescue, J.W.","MacMillan and Co, Ltd",1920,,Y,
"Row 2, section 1","History of the British Army, Vol. II","Fortescue, J.W.","MacMillan and Co, Ltd",1920,,Y,
"Row 2, section 1","History of the British Army, Vol. III 1763-1793","Fortescue, J.W.","MacMillan and Co, Ltd",1920,,Y,
"Row 2, section 1","History of the British Army, Vol. IV ","Fortescue, J.W.","MacMillan and Co, Ltd",1920,,Y,
"Row 2, section 1","History of the British Army, Vol. IV, Part I 1789-1801","Fortescue, J.W.","MacMillan and Co, Ltd",1920,,Y,
"Row 2, section 1","History of the British Army, Vol. IV, Part II 1789-1801","Fortescue, J.W.","MacMillan and Co, Ltd",1920,,Y,
"Row 2, section 1","History of the British Army, Vol. V 1803-1807","Fortescue, J.W.","MacMillan and Co, Ltd",1920,,Y,
"Row 2, section 1","History of the British Army, Vol. VI 1807-1809","Fortescue, J.W.","MacMillan and Co, Ltd",1920,,Y,
"Row 2, section 1","History of the British Army, Vol. VII","Fortescue, J.W.","MacMillan and Co, Ltd",1920,,Y,
"Row 2, section 1","History of the British Army, Vol. VII 1809-1810","Fortescue, J.W.","MacMillan and Co, Ltd",1920,,Y,
"Row 2, section 1","History of the British Army, Vol. VIII","Fortescue, J.W.","MacMillan and Co, Ltd",1920,,Y,
"Row 2, section 1","History of the British Army, Vol. VIII 1811-1812","Fortescue, J.W.","MacMillan and Co, Ltd",1920,,Y,
"Row 2, section 1","History of the British Army, Vol. IX 1813-1814","Fortescue, J.W.","MacMillan and Co, Ltd",1920,,Y,
"Row 2, section 1","History of the British Army, Vol. X 1814-1815","Fortescue, J.W.","MacMillan and Co, Ltd",1920,,Y,
"Row 2, section 1","History of the British Army, Vol. XI 1815-1835","Fortescue, J.W.","MacMillan and Co, Ltd",1920,,Y,
"Row 2, section 1","History of the British Army, Vol. XIII 1852-1870","Fortescue, J.W.","MacMillan and Co, Ltd",1920,,Y,
"Row 2, section 1",Carl Johan I den Stora Koalitionen mot Napoleon,"Hojer, Torvald T:son",Uppsala,1935,,N,
"Row 2, section 1",Napoleon and the Pope,"Hales, E.E.Y.",Earle & Spottiswood,1962,,N,Loose Ephemera
"Row 2, section 1",The Emperorer's Last Island,"Blackburn, Julia",Pantheon Books,1991,,N,Loose Ephemera
"Row 2, section 1",Napoleon le Grand,"Rosny Aine, J.H.",Les Editions des Portiques,1931,8th edition,Y,
"Row 2, section 1",Histoire et dictionnaire de la Revolution francaise,"Tulard, J., Fayard, J.F., and Fierro, A. ",Bouquins,1987,,N,
"Row 2, section 1",Napoleon and his Coronation,"Masson, Frederic",T. Fisher Unwin,1911,,N,
"Row 2, section 1",Napoleon from the Tuileries to St. Helena,"Saint Denis, Louis Etienne",Harper & Brothers,1922,,N,
"Row 2, section 1",Toussaint l'Overture,"Tyson, George F. (ed.)",Prentice Hall,1973,,N,
"Row 2, section 1",Charlotte Corday and Certain Men of the Revolutionary Torment,"Cher, Marie",D. Appleton and Company,1924,,N,
"Row 2, section 1",Traditions et Souvenirs ou Memoires t.1,"Colbert, Auguste","Librarie de Firmin Didot Freres, Fils, et C",1863,,Y,
"Row 2, section 1",Traditions et Souvenirs ou Memoires t.2,"Colbert, Auguste","Librarie de Firmin Didot Freres, Fils, et C",1863,,Y,
"Row 2, section 1",Traditions et Souvenirs ou Memoires t.3,"Colbert, Auguste","Librarie de Firmin Didot Freres, Fils, et C",1863,,Y,
"Row 2, section 1",Traditions et Souvenirs ou Memoires t.4,"Colbert, Auguste","Librarie de Firmin Didot Freres, Fils, et C",1863,,Y,
"Row 2, section 1","Life of Napoleon I, vol. I","Rose, John Holland",George Bell and Sons,1902,,N,
"Row 2, section 1","Life of Napoleon I, vol. II","Rose, John Holland",George Bell and Sons,1902,,N,
"Row 2, section 1",Guillotine the Great ,"Everitt, Graham",Ward and Downey,1890,,N,
"Row 2, section 1",Napoleon Chez Lui,"Masson, Frederic",Artheme Fayard,1952,,Y,
"Row 2, section 1",The Revolutionary Era 1789-1850,"Breunig, Charles & Levinger, Matthew",W.W. Norton and Company,2002,3rd,N,
"Row 2, section 1",Notice sur la Bibliotheque Napoleonienne Paul Mormottan et son Fondateur,"Fleuriot de Langle, P. ",Boulogne-Sur-Seine,1938,,N,
"Row 2, section 1","Bernadotte et Napoleon, 1797-1814","Pingaud, Leonce",Librairie Plon,1923,,N,
"Row 2, section 1","The Armies of the First French Republic, Vol. 1","Phipps, Ramsay Weston",Oxford University Press,1968,,N,Loose Ephemera
"Row 2, section 1","The Armies of the First French Republic, Vol. 2","Phipps, Ramsay Weston",Oxford University Press,1968,,N,
"Row 2, section 1","The Armies of the First French Republic, Vol. 3","Phipps, Ramsay Weston",Oxford University Press,1968,,N,
"Row 2, section 1","The Armies of the First French Republic, Vol. 4","Phipps, Ramsay Weston",Oxford University Press,1968,,N,
"Row 2, section 1","The Armies of the First French Republic, Vol. 5","Phipps, Ramsay Weston",Oxford University Press,1968,,N,
"Row 2, section 1",Madame de Stael: Ten Years of Exile,"Beick, Doris (tr.)",Saturday Review Press,1972,,N,
"Row 2, section 1",The Chevalier de Boufflers,"Webster, Nesta H. ",E.P. Dutton and Company,1924,,N,
"Row 2, section 1","Napoleon and His Marshalls, vol.1","Headley, J.T.",Charles Scribner,1855,,Y,
"Row 2, section 1","Napoleon and His Marshalls, vol.2","Headley, J.T.",Charles Scribner,1855,,Y,
"Row 2, section 1",The Great Fear of 1789,"Lefebvre, Georges",Pantheon Books,1973,,N,
"Row 2, section 1",Memoires de Napoleon Vol. 2,"Gorgaud, Gaspard","Librarie de Firmin Didot Freres, Fils, et C",1823,,N,
"Row 2, section 1","Annals of the Peninsular Campaigns, vol 1","Thornton, Cyril",William Blackwood,1829,,Y,
"Row 2, section 1","Annals of the Peninsular Campaigns, vol 2","Thornton, Cyril",William Blackwood,1829,,Y,
"Row 2, section 1","Annals of the Peninsular Campaigns, vol 3","Thornton, Cyril",William Blackwood,1829,,Y,
"Row 2, section 1",Napoleon's Campaign of 1812 and the Retreat from Moscow,"Belloc, Hilaire",Harper & Brothers,1926,,N,Loose Ephemera
"Row 2, section 1","Memoirs of the Duke Rovigo, vol 1","Savary, M.",Henry Colburn,1828,,Y,
"Row 2, section 1","Memoirs of the Duke Rovigo, vol 2","Savary, M.",Henry Colburn,1828,,Y,
"Row 2, section 1","Memoirs of the Duke Rovigo, vol 3","Savary, M.",Henry Colburn,1828,,Y,
"Row 2, section 1","Memoirs of the Duke Rovigo, vol 4","Savary, M.",Henry Colburn,1828,,Y,
"Row 2, section 1",Napoleon,"Addey, Keith",Evergreen Lives,1983,,N,
"Row 2, section 1",Napoleon A Lafrey,"Faure, Gabriel & Deleon, Marcel",Editions F. Dardelet,1929,,N,Signed
"Row 2, section 1",Napoleon's Peninsular Marshals,"Humble, Richard",Taplinger Publishing Company,1973,,N,
"Row 2, section 1","Madame de Stael, vol 2","Stevens, Abel",Harper & Brothers,1889,,N,
"Row 2, section 1",Vienne au Temps de Napoleon,"Bac, Ferdinand",Hachette,1933,,N,Loose Ephemera
"Row 2, section 1",France in the American Revolution,"Perkins, James Breck",Corner House,1970,,N,
"Row 2, section 1","Memoirs of Chancellor Pasquier, vol.1 1789-1810","Audiffret-Pasquier, Gaston",Charles Scribner's Sons,1894,,N,
"Row 2, section 1","Memoirs of Chancellor Pasquier, vol.2 1812-1814","Audiffret-Pasquier, Gaston",Charles Scribner's Sons,1894,,N,
"Row 2, section 1","Memoirs of Chancellor Pasquier, vol.3 1814-1815","Audiffret-Pasquier, Gaston",Charles Scribner's Sons,1894,,N,
"Row 2, section 1",Histoire de la Conciergereie,"Pottet, Eugene",Societe Francaise d'Editions d'Art,,,N,
"Row 2, section 1",Scaramouche ,"Sabatini, Rafael",Grosset and Dunlap,1921,,N,
"Row 2, section 1",Memoires du General Guillaume Pepe,"Mouton, Leo",Libairie Academiue Didier,1906,,Y,
"Row 2, section 1",General Pichergru's Treason,"Hall, Sir John","Smith, Elder & Co. ",1912,,N,
"Row 2, section 1",Napoleon Bonaparte L'Oeuvre et L'Histoire,"Massin, Jean",Club Francais de Livre,1969,,N,
"Row 2, section 1",Quest for Victory ,"Ross,Steven T.",A.S. Barnes and Company,1973,,N,
"Row 2, section 1",William Plumer's Memorandum of Proceedings in the United Stes Senate 1803-1807,"Brown, Everett S. (ed.)",De Capo Press,1969,,N,
"Row 2, section 1",Napoleon's Captivity in Relation to Sir Hudson Lowe,"Seaton, R.C.",George Bell and Sons,1902,,N,
"Row 2, section 1",Les Rois Freres de Napoleon,"Albert, Pierre Emmanuel",Librairie Germer Bailliere et C,1883,,N,
"Row 2, section 1",Napoleon: How He Did It,"Fain, Agathon Jean Francois",Proctor Jones,1998,,N,Enscribed
"Row 2, section 1",Revaliere-Lepeaux Citizen Director 1753-1824,"Robison, Georgia",Octagon Books,1972,,N,
"Row 2, section 1",The Last Days of Napoleon's Empire,"Lachouque, Henry ",George Allen & Unwin Ltd,1966,,N,
"Row 2, section 1",King of Rome,"Castelot, Andre",Harper & Brothers,1960,,N,
"Row 2, section 1","Madame Recamier, vol.1","Herriot, Edouard",G.P. Putnam's Sons,1906,,N,
"Row 2, section 1","Madame Recamier, vol.2","Herriot, Edouard",G.P. Putnam's Sons,1906,,N,
"Row 2, section 1",The First Napoleon,Earl of Kerry (ed.),Houghton Mifflin Company ,1925,,N,
"Row 2, section 1",Protest of the Cour des Aides of Paris,"Robinson, James Harvey",P.S. King and Son,1899,,N,
"Row 2, section 1",The Escape from Elba,"MacKenzie, Norman",Oxford University Press,1982,,N,
"Row 2, section 1",The Murder of Napoleon,"Wieder, Ben & Hapgood, David",Gordon & Lattes,1982,,N,
"Row 2, section 1",Chronique de Cinquante Jours,"Roederer, P.L.",L'Imprimerie de la Chevardiere,1832,,N,
"Row 2, section 1","Letters & Documents of Napoleon, vol.1","Howard, John Edward (tr.)",Cresset Press,1961,,N,
"Row 2, section 1",Fouche 1759-1820,"Madelin, Louis",Librairie Plon,,,N,
"Row 2, section 1",Les Marechaux de Napoleon,Chardigny,Flamereon,1946,,Y,
"Row 2, section 1",The Good Doctor Guillotin and His Strange Device,"Soubiran, Andre",Souvenir Press,1962,,N,
"Row 2, section 1",Fournier's Napoleon the First,"Fournier, August",Henry Holt and Company,1903,,N,
"Row 2, section 1",Once there was a Man Napoleon,"Delteil, Joseph",Covici Friede,1930,,N,
"Row 2, section 1",1812 The March on Moscow,"Austin, Paul Britten",Greenhill Books,1993,,N,
"Row 2, section 1","The French Revolution, vol. 1","Stephens, H. Morse",Charles Scribner's Sons,1891,,N,
"Row 2, section 1",The French Revolution,"Bosher, J.F.",W.W. Norton and Company,1988,,N,
"Row 2, section 1",Napoleon Immortal,"Kemble, James","Butler & Tanner, Ltd",,,N,
"Row 2, section 1",Carnot,"Watson, S.J.",The Bodley Head,1954,,N,
"Row 2, section 1",Which Way to Turn? Napoleon's Last Choice,"Manceron, Claude","Jonathan Cape, Ltd",1961,,N,
"Row 2, Section 2",Life of Napoleon ,John Gibson Lockhart ,Porter & Coates ,1824,,N,
"Row 2, Section 2",Napoleon's St. Helena ,Gilbert Martineau ,John Murray ,1968,,N,
"Row 2, Section 2",The Parvenu Princesses: The Lives and Loves of Napoleon's Sisters ,Margery Weiner ,William Morrow & Company,1964,,N,
"Row 2, Section 2",Bonaparte ,Eugene Tarle ,Knight Publications,1937,,N,
"Row 2, Section 2","Spain in the Liberal Age From Constitution to Civil War, 1808-1939",Charles J. Esdaile ,Blackwell Publishers,2000,,N,
"Row 2, Section 2","Quest for Victory: French Military Strategy, 1792-1799",Steven T. Ross ,A.S. Barnes and Company,1973,,N,
"Row 2, Section 2",European Diplomatic History 1789-1815: France Against Europe ,Steven T. Ross ,Krieger Publishing Comany,1981,,N,
"Row 2, Section 2","Imperial Sunset: The Fall of Napoleon, 1813-14",R.F. Delderfield ,Hodder and Stoughton ,1968,,N,
"Row 2, Section 2",Les Cents Jours ,Emmanuelle Hubert ,Rene Julliard ,1966,,N,
"Row 2, Section 2",A Guerra Penninsular ,,,,,N,
"Row 2, Section 2",Idylls of France ,Photographed and Edited by Proctor Jones ,Proctor Jones,1982,,N,
"Row 2, Section 2",German Blue Book,,,,,,
"Row 2, Section 2",The Duke of Wellington in caricature ,JOhn Physick ,Victoria and Albert Museum ,1965,,N,
"Row 2, Section 2",Marie Adelaide de Cice,translated by John Joyce,,1962,,N,
"Row 2, Section 2",Napoleon and the Restoration of the Bourbons: The completed portion of the Macaulay's projected ,edited by Joseph Hamburger ,Columbia University Press,1977,,N,
"Row 2, Section 2","Napoleon or ""Prostration before the Hero""",Werner Hegemann,Constable & Co Ltd,1931,,N,
"Row 2, Section 2",The Last Years of Napoleon ,Ralph Korngold ,Victor Gollancz Ltd,1960,,N,
"Row 2, Section 2",The Belgians at Waterloo ,Demetrius C. Boulger,Demetrius C. Boulger,1901,,Y,
"Row 2, Section 2",Napoleon ,Herbert Fisher,Henry Holt and Company ,1924,,N,
"Row 2, Section 2","Itineraire Feneral de Napoleon, Chronologi",Michel Perrot,Galerie Vero-Dodat,1845,,N,
"Row 2, Section 2",The Campaign of 1815 Chiefly in Flanders ,Lieut. - Col. W.H. James ,William Blackwood and Sons ,1908,,N,
"Row 2, Section 2",Trafalgar The Nelson Touch ,David Howarth ,Atheneum,1969,,N,
"Row 2, Section 2",Napoleon,J.T. Herbert,The Connoisseur Magazine,1908,,N,
"Row 2, Section 2",Arquivos do Centro Cultural Portugues Volume V (5),,Fundacao Calouste Gulbenkian ,1972,,N,
"Row 2, Section 2","Eighteenth-Century Europe: Tradition and Progress, 1715-1789",Isser Woloch ,W.W. Norton Company ,1982,,N,
"Row 2, Section 2",Sharpe's Eagle ,Bernard Cornwell ,The Viking Press,1981,,N,
"Row 2, Section 2",Napoleon et Paris ,Georges Poison ,Berger Levrault,1964,,,
"Row 2, Section 2",Napoleon et la Musique ,utheo Fleischman ,Brepols,1914,,,
"Row 2, Section 2",Le Campagne de 1813 ,G. Bertin ,Ernest Flammarion,1886,,N,
"Row 2, Section 2",Napoleon I A Great Life in  Brief ,Albert Guerard,Alfred A. Knopf,1969,,N,
"Row 2, Section 2",Le Proces du Marechel Ney,Georges Bonnefous,,1892,,N,
"Row 2, Section 2",French Revolution for Beginners ,Martin McCroy & Robert Moulder ,Writers and Readers Publishing Cooperative ,1983,,N,
"Row 2, Section 2",Metternich 1773 - 1859,Michel Missoffe,Librairie Artheme Fayard,1959,,Y,
"Row 2, Section 2",The Jacobin Republic 1792 - 1794,Marc Bouloiseau ,Cambridge University Press ,1983,,N,
"Row 2, Section 2",Description de L'Egypte Desk Diary 1998,,American Universsity in Cairo Press ,1997,,,
"Row 2, Section 2",A Short History of the French revolution third edition,Jeremy D. Popkin,University of Kentucky,2002,,N,
"Row 2, Section 2",Napoleon 1812,Nigel Nicolson ,Weidenfeld & Nicolson,1985,,N,
"Row 2, Section 2","Napoleon, 20 ans de Campagnes ",Henry Lachouque ,Arthaud,1964,,N,
"Row 2, Section 2",Murat Roi de Naples ,Jean Paul Garnier ,Librairie Plon,1959,,N,
"Row 2, Section 2",Metternich and his Times ,G. de Bertier de Sauvigny ,"Darton, Longman, & Todd",1962,,N,
"Row 2, Section 2",Roscoe's Tracts on War,Earl Grey,J. M'Creery,1810,,N,
"Row 2, Section 2",Mistress to an Age: A Life of Madame de Stael ,J. Christopher Herold ,Bobbs-Merril Company ,1958,,N,
"Row 2, Section 2",Napoleon's Diplomatic Service ,Edward A. Whitcomb,Duke University Press ,1979,,N,
"Row 2, Section 2",Napoleon ,Emil Ludwig ,Boni & Liveright ,1926,,N,
"Row 2, Section 2","Napoleon and Clio: Histoical Writing, Teaching, and thinking During The First Empire ",June K. Burton ,Carolina Academic Press,1979,,N,
"Row 2, Section 2",New Letter  of Robert Southey Volume 1,Kenneth Curry ,Columbia University Press ,1965,,N,
"Row 2, Section 2","The Home Office, 1782-1801",R. R. Nelson, Duke University Press,1969,,N,
"Row 2, Section 2",The French Revolution: From its Origins to 1793 volume 1,Georges Lefebvre ,Columbia University Press ,1962,,N,
"Row 2, Section 2",Napoleon's Viceroy: Eugene de Beauharnais ,Carola Oman ,Hodder and Stoughton,1966,,N,
"Row 2, Section 2",Napoleon Recaptures Paris ,Claude Manceron ,Blackfriars Press Ltd,1968,,N,
"Row 2, Section 2",The Duchess of Dino,Philip Ziegler ,Collins Clear - Type Press,1962,,N,
"Row 2, Section 2",The Growth of Napoleon ,Norwood Young ,"John Murray, Albemarle Street, W.",1910,,N,
"Row 2, Section 2",Napoleon et la Legion au Camp de Boulogne (l'edition originale),Albert Chatelle,,1956,,Y,
"Row 2, Section 2",Tagebuch eines Rheinbund-Offiziers,Barkhausen,Bergmann ,1900,,N,
"Row 2, Section 2",La Direction Generale Du Musee Central des Arts,Joseph Billiet ,Musees Nationaux,1952,,N,
"Row 2, Section 2",La Mort de Pichegru ,Frederic Barbey,Librairie Academique,1909,,Y,
"Row 2, Section 2",Mirabeau,Louis Barthou,Librairie Hachette,1913,,Y,
"Row 2, Section 2",Etudes sur Le Cure meslier ,,,1966,,Y,
"Row 2, Section 2",The French Revolution and Napoleon Collection at Florida State University,Donald D. Horward,Rose Printing Company,1973,,Y,
"Row 2, Section 2",Revolution Francaise ,Pierre Caron,Rue Bonaparte,1947,,Y,
"Row 2, Section 2",Actes du Colloqye Robespierre ,,Societe des Etudes Robespieristes,1965,,Y,
"Row 2, Section 2",Le Marechal de Castries 1727-1800,Duc de Castries,Libraire Artheme ,1956,,Y,
"Row 2, Section 2",Dugommier (1738-1794),Arthur Chuquet,R. Roger & F.Chernoviz,1904,,Y,
"Row 2, Section 2",La Survie de Louis XVII,R.Reicher Sgradi,Jerome Martineau,1967,,Y,
"Row 2, Section 2",Les Premiers Prefets des Hautes-Pyrenees (1800-1814),Jean Francois Soulet,Societe des Etudes Robespieristes,1965,,Y,
"Row 2, Section 2",La Revolution Francaise et Education Technique ,Antoine Leon,Societe des Etudes Robespieristes,1968,,Y,
"Row 2, Section 2",Actes du Colloque Patriotisme et Nationalisme en Europe...,,Societe des Etudes Robespieristes,1973,,Y,
"Row 2, Section 2",Le Drame de Varennes ,G. Lenotre,University of Michigan Library,1926,,Y,
"Row 2, Section 2",The Diary of Sir John Moore vol II (2),"Major-General Sir J.F. Maurice, ",Edward Arnold,1904,,Y,
"Row 2, Section 2",The Diary of Sir John Moore vol II (2),"Major-General Sir J.F. Maurice, ",Edward Arnold,1904,,Y,
"Row 2, Section 2",Life of General Sir Robert Wilson I (1),Herbert Randolph,"John Murray, Albemarle Street",1862,,Y,
"Row 2, Section 2",Life of General Sir Robert Wilson I (1),Herbert Randolph,"John Murray, Albemarle Street",1862,,Y,
"Row 2, Section 2",La Marseillaise,Louis Fiaux,Libraire Charpentier,1918,,Y,
"Row 2, Section 2",Un Journal de Province Sous La Revolution,Rene Gerard ,Societe des Etudes Robespieristes,1964,,Y,
"Row 2, Section 2",Un Agent Royaliste Pendant La Revolution Pierre-Jacques Le Maitre 1790-1795,Andre Doyon,Societe des Etudes Robespieristes,1969,,Y,
"Row 2, Section 2",La Revolution Batave 1783-1798,Pieter Geyl,Societe des Etudes Robespieristes,1971,,Y,
"Row 2, Section 2",Histoire de L'insurrection de Prairial an III 1795,Jules Claretie,Librairie Internationale,1869,,Y,
